"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
Tue Mar 28 18:57:18 +0000 2017,846798369070760000,"@NYCMayor How about just enforcing Federal Law? Isn't this basically NYC seceding from the Union! How about an EPA free sanctuary city!",undefined,Dan Schiappa,dan_schiappa,"New Hampshire, USA",50,148,Tue Feb 21 19:34:59 +0000 2017,null,000000,http://pbs.twimg.com/profile_images/834127389793845252/LAsk5xW8_normal.jpg,null,null,null
Tue Mar 28 18:57:19 +0000 2017,846798372476354600,"RT @greennomad61: 🆘📣 @LGAnimalRescue &gt;@LC4A &gt;@DogRescueTweets @PittyLoveRocNY 🔝 2B KILLED today 3-28🆘🙏 RT #GSD 😭 #NYC https://t.co/No3HHj0E…",undefined,Renée Hawkins,dreneehawkins,"San Diego, CA",4417,3618,Tue Apr 09 20:27:25 +0000 2013,Arizona,F0DBB7,http://pbs.twimg.com/profile_images/799084371823108096/lh3-Rxr6_normal.jpg,null,null,null
Tue Mar 28 18:57:20 +0000 2017,846798378520494100,"@vannanancy @EPA @POTUS I'm surprised Trump doesn't remember it and the NYC smog.  He's certainly old enough to.",undefined,ChristineY0815,christine081575,"null",7,66,Sun May 20 18:17:13 +0000 2012,Eastern Time (US & Canada),642D8B,http://pbs.twimg.com/profile_images/2239273955/image_normal.jpg,null,null,null
Tue Mar 28 18:57:21 +0000 2017,846798381070594000,"RT @prisonculture: Single Payer related actions happening This Saturday 4/1 and the next 4/8
4/1 - March for Health - NYC one: https://t.co…",undefined,poet &other,mottstmenagerie,"null",2263,1422,Fri Jul 10 02:12:55 +0000 2009,Central Time (US & Canada),C0DEED,http://pbs.twimg.com/profile_images/378800000665852683/8f18e6fe61534adb7f5021740af88e79_normal.jpeg,null,null,null
Tue Mar 28 18:57:20 +0000 2017,846798378373726200,"Pier 17. #nyc #travel #photography #Manhattan #blackandwhite https://t.co/gvdlI6nf1K",undefined,NYC Behind the Scene,BehindNyc,"New York, NY",2,2,Tue Mar 14 16:11:36 +0000 2017,null,F5F8FA,http://pbs.twimg.com/profile_images/841684324797808641/fsTtvR8R_normal.jpg,null,null,null
Tue Mar 28 18:57:22 +0000 2017,846798384090550300,"RT @T_FisherKing: The white male terrorist who stabbed Tim Caughman was just practicing for larger massacre.
And trump got y'all scar…",undefined,mel,meltrns,"Belgium",789,514,Sat Aug 27 19:20:11 +0000 2011,Brussels,ACDED6,http://pbs.twimg.com/profile_images/833423541643202561/0TJPU5qq_normal.jpg,null,null,null
Tue Mar 28 18:57:22 +0000 2017,846798385776640000,"RT @ShaunKing: Good. He's a terrorist and is being charged as one https://t.co/3rQ8bX0K6B",undefined,🍪,zxena_,"London, England",384,485,Sat Aug 11 19:11:26 +0000 2012,London,C0DEED,http://pbs.twimg.com/profile_images/841361504230338561/0PgCz3-3_normal.jpg,null,null,null
Tue Mar 28 18:57:22 +0000 2017,846798385776595000,"I want to do a poll, like for real! Who is more exspensive L.A., NYC, SAN FRANCISCO??? They all stresses me out, HELLO NYC!!",undefined,Angel Bardney,asb1224,"In Gods Will",457,1968,Thu Apr 30 19:25:31 +0000 2009,Central Time (US & Canada),FF6699,http://pbs.twimg.com/profile_images/805302926226821120/tAXt0q8__normal.jpg,null,null,null
Tue Mar 28 18:57:22 +0000 2017,846798387500503000,"RT @onesixtyphilly: April 14th at @kungfunecktie with @laripley and #AnnaMorgan from Heavy NYC. Plus a Footwork Dance Workshop. https://t.c…",undefined,djsideswipe,djsideswipe,"Philadelphia, PA",662,490,Wed Feb 09 15:04:17 +0000 2011,Eastern Time (US & Canada),1A1B1F,http://pbs.twimg.com/profile_images/840611008381083648/3j4-_A1F_normal.jpg,null,null,null
Tue Mar 28 18:57:23 +0000 2017,846798389111144400,"Sen.Scumbag https://t.co/gbHQuloyYV",undefined,DJ,Aj2956David,"Florida",355,630,Mon Dec 22 00:40:49 +0000 2014,null,C0DEED,http://pbs.twimg.com/profile_images/546836621942075392/LtB8nmhC_normal.jpeg,null,null,null
Tue Mar 28 18:57:23 +0000 2017,846798390583287800,"RT @ozgurmumcu: Halkbank genel müdür yardımcısı Mehmet Hakan Atilla, Rıza Sarraf soruşturması kapsamında New York JFK havaalanında…",undefined,Füsun Şeniş,fusunsenis,"Türkiye",361,583,Mon Dec 17 18:06:38 +0000 2012,Kyiv,C0DEED,http://pbs.twimg.com/profile_images/2987785474/0224c3f48b831d155874643e4b22200f_normal.jpeg,null,null,null
Tue Mar 28 18:57:24 +0000 2017,846798395293536300,"RT @EcoFiction: Kim Stanley Robinson’s New York 2140: To Save the City, We May Have to Drown It https://t.co/MoUTqJEvAH via @selectall",undefined,Alexa Weik v Mossner,awvmossner,"Munich -- Klagenfurt",439,651,Wed Nov 16 18:20:33 +0000 2016,Pacific Time (US & Canada),F5F8FA,http://pbs.twimg.com/profile_images/798960948786692099/lGRhuDLZ_normal.jpg,null,null,null
Tue Mar 28 18:57:24 +0000 2017,846798395847180300,"RT @NYCParks: Find out how you can have your art displayed in our parks: https://t.co/RNKjYUQlCa https://t.co/jL2ZTNjoQz",undefined,Staten Island NYC,SINYCliving,"Staten Island, New York City",8995,1050,Sat Jun 05 22:06:13 +0000 2010,Quito,C0DEED,http://pbs.twimg.com/profile_images/620270957337317376/SpGNHEkq_normal.jpg,null,null,null
Tue Mar 28 18:57:25 +0000 2017,846798398258892800,"RT @SenSchumer: "We cannot afford to have Neil Gorsuch sit on the Supreme Court. He believes the wealthy have more rights than the avg citi…",undefined,(((Jim 🥐 Prall))),jimprall,"Toronto, Canada",1231,4486,Mon Aug 17 16:23:34 +0000 2009,null,C0DEED,http://pbs.twimg.com/profile_images/824695082326560771/nh4SyFLK_normal.jpg,null,null,null
Tue Mar 28 18:57:26 +0000 2017,846798402805518300,"RT @TwitchyTeam: ICYMI==&gt; Chuck Schumer accused of BERATING female Trump supporter at fancy restaurant in NYC https://t.co/TRSQJEIFwx",undefined,Thufir,thufir0,"null",2,89,Tue Dec 11 06:06:09 +0000 2012,null,C0DEED,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,null,null,null
Tue Mar 28 18:57:27 +0000 2017,846798404990767100,"Moron!  NYC Mayor Says That Being a Sanctuary City Means Less Terrorism https://t.co/7zkSqlT51G via @MinutemenNews",undefined,Gary,gds44,"Orange County, NY",4509,4743,Thu Feb 04 15:09:40 +0000 2010,Eastern Time (US & Canada),9AE4E8,http://pbs.twimg.com/profile_images/662346293033852928/kfX9yBVV_normal.jpg,null,null,null
Tue Mar 28 18:57:27 +0000 2017,846798406714638300,"RT @ajplus: James Harris Jackson, who was accused of heading to NYC to find a black man to kill, has been charged with murder as an act of…",undefined,#JusticePourAdama,CaptainSankaraa,"null",104,360,Wed Nov 23 21:39:21 +0000 2016,Paris,000000,http://pbs.twimg.com/profile_images/801722767804694528/BfjuyOUe_normal.jpg,null,null,null
Tue Mar 28 18:57:29 +0000 2017,846798414151016400,"Officers targeted gay men in NYC bathrooms, lawsuit says https://t.co/BEhFFQBRjy",undefined,Russell Davis,bentlightnvegas,"Las Vegas, Nv",1062,2106,Tue Oct 21 05:29:10 +0000 2008,Arizona,352726,http://pbs.twimg.com/profile_images/827186174498267138/qFilymVk_normal.jpg,null,null,null
